power,frequency,amplitude,phase,I,Q
-19.0,5356571038.251366,0.13051095669401214,-0.5105428532810307,0.1138681173324585,-0.06377430260181427
-19.0,5356721311.4754095,0.129075624809487,-0.5050162378017703,0.11296267807483673,-0.062449581921100616
-19.0,5356871584.699453,0.13213896612905912,-0.5142055854477786,0.11505124717950821,-0.06499166786670685
-19.0,5357021857.923497,0.12976572234516165,-0.512625799569318,0.11308559030294418,-0.06364583224058151
-19.0,5357172131.147541,0.13170789407143407,-0.5171963700535975,0.11448166519403458,-0.0651223286986351
-19.0,5357322404.371585,0.13065347820871878,-0.5240351682451306,0.11312071233987808,-0.06537611037492752
-19.0,5357472677.595629,0.12925533234829226,-0.5315150148982027,0.11142329126596451,-0.06551176309585571
-19.0,5357622950.819673,0.13041183117401023,-0.5250674261030327,0.1128440722823143,-0.06537171453237534
-19.0,5357773224.0437155,0.12967332337087403,-0.5403450455965221,0.11119892448186874,-0.06670809537172318
-19.0,5357923497.267759,0.12955421129238875,-0.5217745008982568,0.11231522262096405,-0.06457231938838959
-19.0,5358073770.491803,0.13038704310693688,-0.5213344114988356,0.11306582391262054,-0.06493766605854034
-19.0,5358224043.715847,0.13074828682982864,-0.522959847414009,0.11327308416366577,-0.06530178338289261
-19.0,5358374316.939891,0.12999274203394698,-0.5126265513939104,0.11328338086605072,-0.0637572631239891
-19.0,5358524590.163935,0.13013831431861458,-0.5133371974349452,0.11336485296487808,-0.06390924006700516
-19.0,5358674863.387979,0.13052474885485704,-0.5125239311903336,0.11375357210636139,-0.06400652229785919
-19.0,5358825136.612021,0.13141656031098475,-0.5057155981369587,0.11496689170598984,-0.06366259604692459
-19.0,5358975409.836065,0.13182406900791246,-0.5073332790750028,0.11521993577480316,-0.0640464797616005
-19.0,5359125683.060109,0.12873932183372583,-0.5075885908905352,0.11250776052474976,-0.06257648766040802
-19.0,5359275956.284153,0.13003798525485086,-0.5331569293817815,0.11198960244655609,-0.06609240919351578
-19.0,5359426229.508197,0.1300980986165956,-0.5209243790623616,0.11284182220697403,-0.06474749743938446
-19.0,5359576502.732241,0.13131568514066974,-0.5097929068263187,0.11461831629276276,-0.0640815943479538
-19.0,5359726775.9562845,0.13280739208148315,-0.5221127751486782,0.11511312425136566,-0.06623271107673645
-19.0,5359877049.180327,0.1290931178725053,-0.503706772409133,0.11305967718362808,-0.062310051172971725
-19.0,5360027322.404371,0.13065015292874793,-0.5209278641394347,0.11332042515277863,-0.06502263993024826
-19.0,5360177595.628415,0.13028715966482907,-0.5167339637732358,0.11327652633190155,-0.06436748057603836
-19.0,5360327868.852459,0.13112873497860866,-0.5150111463825375,0.11411966383457184,-0.06458674371242523
-19.0,5360478142.076503,0.13052354532433152,-0.5126899252460805,0.11374189704656601,-0.06402481347322464
