power,frequency,amplitude,phase,I,Q
17.0,5345850000.0,0.12649054529129597,-0.6208538996351306,0.10288513451814651,-0.07358333468437195
17.0,5346000000.0,0.1261887800649136,-0.629263640421965,0.10201872140169144,-0.07426835596561432
17.0,5346150000.0,0.12629339861170766,-0.6439648977732668,0.10099956393241882,-0.07582288980484009
17.0,5346300000.0,0.12520330800297366,-0.6599587734859048,0.0989128053188324,-0.0767601802945137
17.0,5346450000.0,0.12445605196871869,-0.6638300808833548,0.0980263352394104,-0.07668211311101913
17.0,5346600000.0,0.12391578682862969,-0.686633416912898,0.09583456069231033,-0.07855481654405594
17.0,5346750000.0,0.12373896128936424,-0.68686259046394,0.09567982703447342,-0.07846464961767197
17.0,5346900000.0,0.12431597118235307,-0.6957615335037479,0.09542068839073181,-0.07968282699584961
17.0,5347050000.0,0.12394418545592113,-0.6776246230448165,0.09656047075986862,-0.07770609110593796
17.0,5347200000.0,0.12535222228713708,-0.6790684598371083,0.09754385054111481,-0.0787297710776329
17.0,5347350000.0,0.12457643674978675,-0.6803392671988643,0.09684065729379654,-0.07836565375328064
17.0,5347500000.0,0.12385209155947062,-0.6819673813441427,0.09615060687065125,-0.07806664705276489
17.0,5347650000.0,0.1249478077594989,-0.6854580901301464,0.09672573953866959,-0.07909542322158813
17.0,5347800000.0,0.12425897251385822,-0.6905288997960978,0.09579239040613174,-0.0791461318731308
17.0,5347950000.0,0.12446051049695209,-0.6884970918739555,0.09610863029956818,-0.07907938957214355
17.0,5348100000.0,0.12431380178427286,-0.6942568577880375,0.09553880989551544,-0.0795377716422081
17.0,5348250000.0,0.12333575480027756,-0.6983406679431416,0.09446410089731216,-0.07929843664169312
17.0,5348400000.0,0.123643770894685,-0.6929204033383326,0.09512951225042343,-0.07898201048374176
17.0,5348550000.0,0.12372758229408871,-0.6867952644147748,0.09567631036043167,-0.0784509927034378
17.0,5348700000.0,0.12398178227384611,-0.6994484322651938,0.09487053751945496,-0.07981894165277481
17.0,5348850000.0,0.123862850395312,-0.707081225363765,0.09416811913251877,-0.0804634764790535
17.0,5349000000.0,0.12226079094588738,-0.738773687417331,0.0903867781162262,-0.0823281928896904
17.0,5349150000.0,0.12020011445129669,-0.7888379826481681,0.08470144867897034,-0.08528617769479752
17.0,5349300000.0,0.11944710959606636,-0.8636418935130824,0.07760158181190491,-0.09080532193183899
17.0,5349450000.0,0.11846485828035581,-0.9195093566340465,0.0718146339058876,-0.09421560913324356
17.0,5349600000.0,0.11766582406089102,-0.96134061308088,0.06735441833734512,-0.09648123383522034
17.0,5349750000.0,0.11899079918914267,-0.9683389582464292,0.06742838770151138,-0.09804194420576096
17.0,5349900000.0,0.11794116281576875,-0.9630329402631885,0.06734827160835266,-0.09682111442089081
17.0,5350050000.0,0.11856117217120715,-0.9354627008054169,0.07035966217517853,-0.0954267755150795
17.0,5350200000.0,0.11925347291586948,-0.907089119167183,0.07346506416797638,-0.09393761307001114
17.0,5350350000.0,0.11910433243402738,-0.878586190742333,0.07601717114448547,-0.09169095754623413
17.0,5350500000.0,0.11922870733121585,-0.8439005310680263,0.07923382520675659,-0.08909256756305695
17.0,5350650000.0,0.12011849851407272,-0.8346619113659435,0.08065095543861389,-0.08901616185903549
